Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Accuracy,Moves Count,Date,Time Control,Tournament Game
MagnusCarlsen,(3219),GM,dropstoneDP,(3025),GM,10,85.5 74.8,42,"Sep 12, 2023",3|1,Y
temus_galaktionov,(2843),FM,MagnusCarlsen,(3215),GM,01,90.6 96.8,67,"Sep 12, 2023",3|1,Y
BlueWizzard,(2949),GM,MagnusCarlsen,(3213),GM,½½,79.9 81.3,65,"Sep 12, 2023",3|1,Y
MagnusCarlsen,(3218),GM,Kosak12,(2793),IM,10,90.2 80.5,39,"Sep 12, 2023",3|1,Y
ahkashefi2800,(2604),FM,MagnusCarlsen,(3217),GM,01,83.6 94.3,56,"Sep 12, 2023",3|1,Y
MagnusCarlsen,(3217),GM,HajiyevKanan,(2513),FM,10,94.3 86.6,56,"Sep 12, 2023",3|1,Y
MagnusCarlsen,(3352),GM,viditchess,(2979),GM,10,90.7 84.7,46,"Sep 12, 2023",1|1,N
viditchess,(2983),GM,MagnusCarlsen,(3350),GM,01,85 89.8,53,"Sep 12, 2023",1|1,N
MagnusCarlsen,(3348),GM,viditchess,(2987),GM,01,89.2 93.6,52,"Sep 12, 2023",1|1,N
viditchess,(2954),GM,MagnusCarlsen,(3363),GM,01,84.9 96.2,39,"Sep 12, 2023",1|1,N
MagnusCarlsen,(3361),GM,viditchess,(2957),GM,10,96 92.4,51,"Sep 12, 2023",1|1,N
viditchess,(2960),GM,MagnusCarlsen,(3359),GM,01,75.9 88.8,39,"Sep 12, 2023",1|1,N
MagnusCarlsen,(3357),GM,viditchess,(2964),GM,½½,97.4 97.8,21,"Sep 12, 2023",1|1,N
viditchess,(2948),GM,MagnusCarlsen,(3364),GM,01,91.7 91.9,61,"Sep 12, 2023",1|1,N
MagnusCarlsen,(3363),GM,viditchess,(2951),GM,10,92.8 85.1,52,"Sep 12, 2023",1|1,N
viditchess,(3109),GM,MagnusCarlsen,(3217),GM,½½,93.2 93.8,53,"Sep 12, 2023",3|1,N
MagnusCarlsen,(3219),GM,viditchess,(3107),GM,½½,98.3 98.3,84,"Sep 12, 2023",3|1,N
viditchess,(3104),GM,MagnusCarlsen,(3222),GM,10,90.6 86.4,68,"Sep 12, 2023",3|1,N
MagnusCarlsen,(3233),GM,viditchess,(3093),GM,10,96.1 92.2,44,"Sep 12, 2023",3|1,N
viditchess,(3098),GM,MagnusCarlsen,(3228),GM,½½,98.6 98.8,33,"Sep 12, 2023",3|1,N
MagnusCarlsen,(3231),GM,viditchess,(3095),GM,½½,97.6 97.5,67,"Sep 12, 2023",3|1,N
viditchess,(3092),GM,MagnusCarlsen,(3234),GM,01,93.9 96.3,73,"Sep 12, 2023",3|1,N
MagnusCarlsen,(3229),GM,viditchess,(3097),GM,01,79.1 83.7,69,"Sep 12, 2023",3|1,N
viditchess,(3086),GM,MagnusCarlsen,(3240),GM,10,88.4 85.3,67,"Sep 12, 2023",5|1,N
MagnusCarlsen,(3252),GM,viditchess,(3074),GM,10,91.4 86.2,33,"Sep 12, 2023",5|1,N
viditchess,(3078),GM,MagnusCarlsen,(3248),GM,½½,97.7 97.5,37,"Sep 12, 2023",5|1,N
viditchess,(3074),GM,MagnusCarlsen,(3252),GM,01,86.7 96.5,30,"Sep 12, 2023",5|1,N
MagnusCarlsen,(3248),GM,viditchess,(3078),GM,10,91.8 86.5,46,"Sep 12, 2023",5|1,N
viditchess,(3083),GM,MagnusCarlsen,(3243),GM,01,89.9 95.2,52,"Sep 12, 2023",5|1,N
MagnusCarlsen,(3238),GM,viditchess,(3088),GM,01,87.5 94.1,36,"Sep 12, 2023",5|1,N
viditchess,(3076),GM,MagnusCarlsen,(3250),GM,½½,0 0,84,"Sep 12, 2023",5|1,N
MagnusCarlsen,(3254),GM,viditchess,(3072),GM,10,96.8 89.2,31,"Sep 12, 2023",5|1,N
MagnusCarlsen,(3250),GM,Njal28,(3119),GM,10,87.2 82.6,44,"Sep 10, 2023",3 min,N
Njal28,(3124),GM,MagnusCarlsen,(3245),GM,01,81.8 87.6,65,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3239),GM,Njal28,(3130),GM,10,91.5 86,39,"Sep 10, 2023",3 min,N
Njal28,(3136),GM,MagnusCarlsen,(3233),GM,10,81.7 78.5,69,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3244),GM,Njal28,(3125),GM,01,85.2 92.3,88,"Sep 10, 2023",3 min,N
Njal28,(3114),GM,MagnusCarlsen,(3255),GM,01,85.9 91.6,46,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3250),GM,Njal28,(3119),GM,01,89.2 93.6,65,"Sep 10, 2023",3 min,N
Njal28,(3108),GM,MagnusCarlsen,(3261),GM,01,88 90.5,45,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3256),GM,Njal28,(3113),GM,10,82.7 71.5,42,"Sep 10, 2023",3 min,N
Njal28,(3118),GM,MagnusCarlsen,(3251),GM,½½,97.1 97.4,96,"Sep 10, 2023",3 min,N
MagnusCarlsen,(3254),GM,Njal28,(3115),GM,01,80 82.9,84,"Sep 10, 2023",3 min,N
