Username (White),Rating (White),Title (White),Username (Black),Rating (Black),Title (Black),Result,Moves Count,Date,Tournament Game,Rating Difference,Accuracy (White),Accuracy (Black),Accuracy Difference,Time,Interval,Total Time,Game Type
MagnusCarlsen,3329,GM,Hikaru,3286,GM,Black Win,46,"Sep 16, 2023",Y,43,77.2,83.1,-5.8999999999999915,1.0,0.0,1.0,Bullet
CuteSheepCloud,2792,NM,MagnusCarlsen,3338,GM,Black Win,52,"Sep 16, 2023",Y,-546,76.9,85.6,-8.699999999999989,1.0,0.0,1.0,Bullet
Kacparov,2941,IM,MagnusCarlsen,3337,GM,Black Win,80,"Sep 16, 2023",Y,-396,77.8,81.4,-3.6000000000000085,1.0,0.0,1.0,Bullet
MagnusCarlsen,3335,GM,Gyulamiryan-koryun,2265,NM,White Win,30,"Sep 16, 2023",Y,1070,93.9,81.3,12.600000000000009,1.0,0.0,1.0,Bullet
Egor_Koshulyan,2904,NM,MagnusCarlsen,3335,GM,Black Win,45,"Sep 16, 2023",Y,-431,87.8,96.9,-9.100000000000009,1.0,0.0,1.0,Bullet
MagnusCarlsen,3334,GM,lamomiajunior,2817,IM,White Win,31,"Sep 16, 2023",Y,517,85.0,77.5,7.5,1.0,0.0,1.0,Bullet
Lady_Nika,2364,NM,MagnusCarlsen,3333,GM,Black Win,26,"Sep 16, 2023",Y,-969,74.6,84.8,-10.200000000000003,1.0,0.0,1.0,Bullet
MagnusCarlsen,3333,GM,Nicolas_DeLaColina,2647,NM,White Win,23,"Sep 16, 2023",Y,686,87.9,75.0,12.900000000000006,1.0,0.0,1.0,Bullet
lachesisQ,3069,GM,MagnusCarlsen,3333,GM,Black Win,46,"Sep 15, 2023",N,-264,86.7,91.8,-5.099999999999994,1.0,1.0,1.7666666666666666,Bullet
MagnusCarlsen,3330,GM,lachesisQ,3075,GM,White Win,44,"Sep 15, 2023",N,255,75.5,71.9,3.5999999999999943,1.0,1.0,1.7333333333333334,Bullet
lachesisQ,3082,GM,MagnusCarlsen,3327,GM,Black Win,28,"Sep 15, 2023",N,-245,81.9,93.5,-11.599999999999994,1.0,1.0,1.4666666666666668,Bullet
MagnusCarlsen,3324,GM,lachesisQ,3089,GM,Black Win,14,"Sep 15, 2023",N,235,72.2,88.9,-16.700000000000003,1.0,1.0,1.2333333333333334,Bullet
lachesisQ,3060,GM,MagnusCarlsen,3337,GM,Draw,52,"Sep 15, 2023",N,-277,96.9,96.9,0.0,1.0,1.0,1.8666666666666667,Bullet
MagnusCarlsen,3342,GM,lachesisQ,3048,GM,Black Win,20,"Sep 15, 2023",N,294,87.4,89.7,-2.299999999999997,1.0,1.0,1.3333333333333333,Bullet
lachesisQ,3015,GM,MagnusCarlsen,3356,GM,Black Win,64,"Sep 15, 2023",N,-341,87.5,92.5,-5.0,1.0,1.0,2.0666666666666664,Bullet
MagnusCarlsen,3354,GM,lachesisQ,3020,GM,White Win,38,"Sep 15, 2023",N,334,83.0,72.0,11.0,1.0,1.0,1.6333333333333333,Bullet
lachesisQ,3025,GM,MagnusCarlsen,3352,GM,Draw,49,"Sep 15, 2023",N,-327,93.8,94.3,-0.5,1.0,1.0,1.8166666666666667,Bullet
MagnusCarlsen,3358,GM,lachesisQ,3010,GM,White Win,34,"Sep 15, 2023",N,348,92.1,84.6,7.5,1.0,1.0,1.5666666666666667,Bullet
lachesisQ,3015,GM,MagnusCarlsen,3356,GM,Black Win,27,"Sep 15, 2023",N,-341,83.7,94.8,-11.099999999999994,1.0,1.0,1.45,Bullet
MagnusCarlsen,3354,GM,lachesisQ,3021,GM,White Win,43,"Sep 15, 2023",N,333,89.3,78.8,10.5,1.0,1.0,1.7166666666666668,Bullet
lachesisQ,3090,GM,MagnusCarlsen,3213,GM,Black Win,61,"Sep 15, 2023",N,-123,85.2,88.8,-3.5999999999999943,3.0,1.0,4.016666666666667,Blitz
MagnusCarlsen,3207,GM,lachesisQ,3096,GM,Draw,75,"Sep 15, 2023",N,111,94.5,94.5,0.0,3.0,1.0,4.25,Blitz
lachesisQ,3093,GM,MagnusCarlsen,3210,GM,Black Win,41,"Sep 15, 2023",N,-117,87.2,93.9,-6.700000000000003,3.0,1.0,3.6833333333333336,Blitz
MagnusCarlsen,3204,GM,lachesisQ,3099,GM,White Win,53,"Sep 15, 2023",N,105,96.5,91.8,4.700000000000003,3.0,1.0,3.8833333333333333,Blitz
lachesisQ,3105,GM,MagnusCarlsen,3198,GM,White Win,46,"Sep 15, 2023",N,-93,94.8,94.7,0.09999999999999432,3.0,1.0,3.7666666666666666,Blitz
MagnusCarlsen,3209,GM,lachesisQ,3094,GM,White Win,39,"Sep 15, 2023",N,115,91.0,83.5,7.5,3.0,1.0,3.65,Blitz
lachesisQ,3100,GM,MagnusCarlsen,3203,GM,White Win,37,"Sep 15, 2023",N,-103,86.4,86.3,0.10000000000000853,3.0,1.0,3.6166666666666667,Blitz
MagnusCarlsen,3214,GM,lachesisQ,3089,GM,White Win,30,"Sep 15, 2023",N,125,95.7,85.9,9.799999999999997,3.0,1.0,3.5,Blitz
lachesisQ,3094,GM,MagnusCarlsen,3209,GM,Draw,58,"Sep 15, 2023",N,-115,95.8,96.0,-0.20000000000000284,3.0,1.0,3.966666666666667,Blitz
MagnusCarlsen,3212,GM,lachesisQ,3091,GM,Draw,44,"Sep 15, 2023",N,121,95.5,96.5,-1.0,5.0,1.0,5.733333333333333,Blitz
lachesisQ,3088,GM,MagnusCarlsen,3215,GM,White Win,41,"Sep 15, 2023",N,-127,95.5,87.6,7.900000000000006,5.0,1.0,5.683333333333334,Blitz
MagnusCarlsen,3226,GM,lachesisQ,3077,GM,White Win,61,"Sep 15, 2023",N,149,91.7,84.2,7.5,5.0,1.0,6.016666666666667,Blitz
lachesisQ,3082,GM,MagnusCarlsen,3221,GM,Black Win,17,"Sep 15, 2023",N,-139,73.2,89.9,-16.700000000000003,5.0,1.0,5.283333333333333,Blitz
MagnusCarlsen,3216,GM,lachesisQ,3087,GM,White Win,44,"Sep 15, 2023",N,129,94.7,89.4,5.299999999999997,5.0,1.0,5.733333333333333,Blitz
lachesisQ,3092,GM,MagnusCarlsen,3211,GM,Black Win,50,"Sep 15, 2023",N,-119,87.3,93.8,-6.5,5.0,1.0,5.833333333333333,Blitz
MagnusCarlsen,3205,GM,lachesisQ,3098,GM,Draw,62,"Sep 15, 2023",N,107,98.1,98.3,-0.20000000000000284,5.0,1.0,6.033333333333333,Blitz
lachesisQ,3095,GM,MagnusCarlsen,3208,GM,Draw,51,"Sep 15, 2023",N,-113,86.0,86.6,-0.5999999999999943,5.0,1.0,5.85,Blitz
MagnusCarlsen,3211,GM,lachesisQ,3092,GM,Black Win,50,"Sep 15, 2023",N,119,85.4,90.3,-4.8999999999999915,5.0,1.0,5.833333333333333,Blitz
MagnusCarlsen,3222,GM,Zkid,2954,GM,White Win,52,"Sep 12, 2023",Y,268,90.0,84.8,5.200000000000003,3.0,1.0,3.8666666666666667,Blitz
artin10862,2977,FM,MagnusCarlsen,3219,GM,Black Win,35,"Sep 12, 2023",Y,-242,82.0,88.7,-6.700000000000003,3.0,1.0,3.5833333333333335,Blitz
MagnusCarlsen,3216,GM,FairChess_on_YouTube,3079,GM,Black Win,63,"Sep 12, 2023",Y,137,79.1,85.1,-6.0,3.0,1.0,4.05,Blitz
BogdanDeac,2980,GM,MagnusCarlsen,3227,GM,Black Win,49,"Sep 12, 2023",Y,-247,86.9,90.2,-3.299999999999997,3.0,1.0,3.8166666666666664,Blitz
MagnusCarlsen,3224,GM,Bigfish1995,3064,GM,White Win,38,"Sep 12, 2023",Y,160,93.4,85.7,7.700000000000003,3.0,1.0,3.6333333333333333,Blitz
MagnusCarlsen,3219,GM,dropstoneDP,3025,GM,White Win,42,"Sep 12, 2023",Y,194,85.5,74.8,10.700000000000003,3.0,1.0,3.7,Blitz
temus_galaktionov,2843,FM,MagnusCarlsen,3215,GM,Black Win,67,"Sep 12, 2023",Y,-372,90.6,96.8,-6.200000000000003,3.0,1.0,4.116666666666667,Blitz
